BuchungsDatum,ArtikelNr,Quantity,Postenart,Source No_
2020-07-30,item x,-3.67,Verbrauch,part x
2020-07-30,item x,-3.52,Verbrauch,part x
2020-07-30,item x,-0.94,Verbrauch,part x
2020-07-30,item x,-2.89,Verbrauch,part x
2020-07-31,item x,-3.18,Verbrauch,part x
2020-07-31,item x,-0.57,Verbrauch,part x
2020-07-31,item x,-1.79,Verbrauch,part a
2020-07-30,item x,-1.1,Verbrauch,part x
2020-07-30,item x,-0.57,Verbrauch,part x
2020-07-31,item x,-1.3,Verbrauch,part x
2020-07-31,item x,-1.67,Verbrauch,part x
2020-07-31,item x,-3.36,Verbrauch,part x
2020-07-31,item x,-3.76,Verbrauch,part x
2020-08-04,item x,-2.06,Verbrauch,part x
2020-08-04,item x,-1.44,Verbrauch,part x
2020-08-04,item x,-6.75,Verbrauch,part x
2020-08-03,item x,-0.36,Verbrauch,part x
2020-08-04,item x,-3.53,Verbrauch,part x
2020-08-04,item x,-0.7,Verbrauch,part x
2020-08-04,item x,-3.11,Verbrauch,part x
2020-08-04,item x,-3.14,Verbrauch,part x
2020-08-04,item x,-1.38,Verbrauch,part x
2020-08-05,item x,-1.54,Verbrauch,part x
2020-08-05,item x,-5.67,Verbrauch,part x
2020-08-05,item x,-5.08,Verbrauch,part x
2020-08-04,item x,-0.21,Verbrauch,part x
2020-08-06,item x,-2.33,Verbrauch,part x
2020-08-06,item x,-0.82,Verbrauch,part x
2020-08-06,item x,-3.44,Verbrauch,part x
2020-08-06,item x,-2.48,Verbrauch,part x
2020-08-06,item x,-1.88,Verbrauch,part x
2020-08-06,item x,-3.28,Verbrauch,part x
2020-08-06,item x,-0.43,Verbrauch,part x
2020-08-06,item x,-0.61,Verbrauch,part x
2020-08-06,item x,-0.39,Verbrauch,part x
2020-08-07,item x,-1.68,Verbrauch,part x
2020-08-07,item x,-5.68,Verbrauch,part x
2020-08-07,item x,-1.97,Verbrauch,part x
2020-08-07,item x,-0.23,Abgang,part x
2020-08-07,item x,-3.6,Verbrauch,part x
2020-08-07,item x,-3.33,Verbrauch,part x
2020-08-10,item x,-3.0,Verbrauch,part x
2020-08-06,item x,-2.16,Verbrauch,part x
2020-08-10,item x,-1.73,Verbrauch,part x
2020-08-10,item x,-3.79,Verbrauch,part x
2020-08-10,item x,-1.87,Verbrauch,part x
2020-08-10,item x,-4.2,Verbrauch,product x
2020-08-11,item x,-0.43,Verbrauch,part x
2020-08-11,item x,-1.97,Verbrauch,part x
2020-08-11,item x,-3.83,Verbrauch,part x
2020-08-12,item x,-3.67,Verbrauch,part x
2020-08-12,item x,-2.24,Verbrauch,part x
2020-08-12,item x,-3.42,Verbrauch,part x
2020-08-12,item x,-1.74,Verbrauch,part x
2020-08-12,item x,-1.02,Verbrauch,part x
2020-08-12,item x,-3.38,Verbrauch,part x
2020-08-07,item x,-1.68,Verbrauch,part x
2020-08-07,item x,-2.27,Verbrauch,part x
2020-08-11,item x,-3.64,Verbrauch,part x
2020-08-11,item x,-1.48,Verbrauch,part x
2020-08-13,item x,-2.55,Abgang,part x
2020-08-12,item x,-1.37,Verbrauch,part x
2020-08-13,item x,-0.98,Verbrauch,part x
2020-08-13,item x,-2.78,Verbrauch,part x
2020-08-13,item x,-2.97,Verbrauch,part x
2020-08-13,item x,-2.96,Verbrauch,part x
2020-08-13,item x,-2.95,Verbrauch,part x
2020-08-14,item x,-2.47,Verbrauch,part x
2020-08-14,item x,-3.73,Verbrauch,part x
2020-08-14,item x,-0.67,Verbrauch,part x
2020-08-14,item x,-4.12,Verbrauch,part x
2020-08-14,item x,-3.48,Verbrauch,part x
2020-08-14,item x,-11.76,Verbrauch,part x
2020-08-14,item x,-8.32,Verbrauch,part x
2020-08-17,item x,-1.99,Verbrauch,part x
2020-08-17,item x,-2.29,Verbrauch,part x
2020-08-17,item x,-1.63,Verbrauch,part x
2020-08-17,item x,-1.73,Verbrauch,part x
2020-08-17,item x,-4.28,Verbrauch,part x
2020-08-17,item x,-4.17,Verbrauch,part x
2020-08-17,item x,-3.48,Verbrauch,part x
2020-08-17,item x,-2.94,Verbrauch,part x
2020-08-17,item x,-3.64,Verbrauch,part x
2020-08-17,item x,-4.0,Verbrauch,part x
2020-08-17,item x,-3.83,Verbrauch,part x
2020-08-17,item x,-5.43,Verbrauch,part x
2020-08-17,item x,-5.5,Verbrauch,part x
2020-08-17,item x,-0.73,Verbrauch,part a
2020-08-17,item x,-6.03,Verbrauch,part x
2020-08-18,item x,-14.59,Verbrauch,part x
2020-08-18,item x,-7.93,Verbrauch,part x
2020-08-20,item x,-2.37,Verbrauch,part a
2020-08-20,item x,-1.9,Verbrauch,part x
2020-08-20,item x,-1.47,Verbrauch,part x
2020-08-20,item x,-1.52,Verbrauch,part x
2020-08-20,item x,-4.54,Verbrauch,part x
2020-08-20,item x,-3.26,Verbrauch,part x
2020-08-19,item x,-10.33,Verbrauch,part x
2020-08-19,item x,-3.06,Verbrauch,part x
2020-08-21,item x,-1.43,Verbrauch,part x
2020-08-21,item x,-1.83,Verbrauch,part x
2020-08-21,item x,-2.44,Verbrauch,part x
2020-08-24,item x,-1.49,Verbrauch,part x
2020-08-24,item x,-2.96,Verbrauch,part x
2020-08-21,item x,-6.43,Verbrauch,part x
2020-08-25,item x,-1.14,Verbrauch,part x
2020-08-26,item x,-3.03,Verbrauch,part x
2020-08-26,item x,-1.34,Verbrauch,part x
2020-08-26,item x,-3.54,Verbrauch,part x
2020-08-26,item x,-9.97,Verbrauch,part x
2020-08-26,item x,-0.55,Verbrauch,part x
2020-08-27,item x,-1.21,Verbrauch,part x
2020-08-27,item x,-4.94,Verbrauch,part x
2020-08-27,item x,-3.07,Verbrauch,product x
2020-08-27,item x,-10.14,Verbrauch,part x
2020-08-28,item x,-3.04,Verbrauch,part x
2020-08-28,item x,-2.38,Verbrauch,part x
2020-08-28,item x,-2.64,Verbrauch,part x
2020-08-28,item x,-2.49,Verbrauch,part x
2020-08-28,item x,-1.61,Verbrauch,part x
2020-08-28,item x,-1.11,Verbrauch,part x
2020-08-28,item x,-2.08,Verbrauch,part x
2020-08-31,item x,-0.26,Verbrauch,part x
2020-08-31,item x,-1.58,Verbrauch,part x
2020-08-31,item x,-0.72,Verbrauch,part x
2020-09-01,item x,-1.39,Verbrauch,part x
2020-09-01,item x,-1.26,Verbrauch,part x
2020-09-01,item x,-1.47,Verbrauch,part x
2020-09-01,item x,-3.61,Verbrauch,product x
2020-09-02,item x,-0.18,Verbrauch,part x
2020-09-02,item x,-1.86,Verbrauch,part x
2020-09-03,item x,-1.64,Verbrauch,part x
2020-09-03,item x,-2.36,Verbrauch,part x
2020-09-04,item x,-2.41,Verbrauch,part x
2020-09-04,item x,-3.75,Verbrauch,part x
2020-09-04,item x,-5.3,Verbrauch,part x
2020-09-04,item x,-2.17,Verbrauch,part x
2020-09-04,item x,-2.67,Verbrauch,part x
2020-09-04,item x,-0.58,Verbrauch,part x
2020-09-04,item x,-1.27,Verbrauch,part x
2020-09-04,item x,-2.49,Verbrauch,part x
2020-09-04,item x,-0.6,Verbrauch,part x
2020-09-04,item x,-6.15,Verbrauch,part x
2020-09-04,item x,-5.84,Verbrauch,part x
2020-09-07,item x,-13.13,Verbrauch,part x
2020-09-07,item x,1841.26,Einkauf,part x
2020-09-07,item x,-1.12,Verbrauch,part x
2020-07-31,item x,-1.13,Verbrauch,part x
2020-09-08,item x,-1.32,Verbrauch,part x
2020-09-08,item x,-3.82,Verbrauch,part x
2020-09-09,item x,-0.46,Verbrauch,part x
2020-09-09,item x,-0.62,Verbrauch,part x
2020-09-11,item x,-1.05,Verbrauch,part x
2020-09-11,item x,-28.52,Verbrauch,part x
2020-09-11,item x,-4.92,Verbrauch,part x
2020-09-11,item x,-0.55,Verbrauch,part x
2020-09-14,item x,-3.42,Verbrauch,part x
2020-09-14,item x,-3.08,Verbrauch,part x
2020-09-14,item x,-0.94,Verbrauch,part x
2020-09-14,item x,-3.87,Verbrauch,part x
2020-09-15,item x,-0.48,Verbrauch,part x
2020-09-15,item x,-2.4,Verbrauch,part x
2020-09-15,item x,-3.69,Verbrauch,part x
2020-09-15,item x,-2.76,Verbrauch,part x
2020-09-15,item x,-3.55,Verbrauch,part x
2020-09-16,item x,-7.46,Verbrauch,product x
2020-09-15,item x,-1.09,Verbrauch,part x
2020-09-15,item x,-7.01,Verbrauch,part x
2020-09-16,item x,-2.12,Verbrauch,part x
2020-09-16,item x,-5.46,Verbrauch,part x
2020-09-16,item x,-2.67,Verbrauch,part x
2020-09-18,item x,-1.06,Verbrauch,part x
2020-09-21,item x,-0.26,Verbrauch,part x
2020-09-21,item x,-3.09,Verbrauch,part x
2020-09-21,item x,-7.25,Verbrauch,part x
2020-09-21,item x,-1.91,Verbrauch,part x
2020-09-24,item x,-1.69,Verbrauch,part x
2020-09-24,item x,-0.69,Verbrauch,part x
2020-09-24,item x,-2.69,Verbrauch,part x
2020-09-28,item x,-7.73,Verbrauch,part x
2020-09-22,item x,-0.66,Verbrauch,part x
2020-09-25,item x,-5.48,Verbrauch,part x
2020-09-28,item x,-2.11,Verbrauch,part x
2020-09-28,item x,-1.79,Verbrauch,part x
2020-09-28,item x,-1.08,Verbrauch,part x
2020-09-28,item x,-0.98,Verbrauch,part x
2020-09-29,item x,-53.87,Verbrauch,part x
2020-09-29,item x,-1.06,Verbrauch,part x
2020-09-29,item x,-3.07,Verbrauch,part x
2020-09-29,item x,-3.5,Verbrauch,part x
2020-09-30,item x,-1.23,Verbrauch,part x
2020-09-30,item x,-1.94,Verbrauch,part x
2020-09-30,item x,-1.94,Verbrauch,part x
2020-09-30,item x,-1.33,Verbrauch,part x
2020-09-30,item x,-1.7,Verbrauch,part x
2020-09-30,item x,-9.2,Verbrauch,part a
2020-09-30,item x,-0.23,Verbrauch,part x
2020-09-30,item x,-0.68,Verbrauch,part x
2020-09-30,item x,-1.28,Verbrauch,part x
2020-09-30,item x,-1.65,Verbrauch,part x
2020-09-30,item x,-3.39,Verbrauch,part x
2020-09-30,item x,-2.99,Verbrauch,part a
2020-10-01,item x,-3.51,Verbrauch,part x
2020-10-01,item x,-3.64,Verbrauch,part x
2020-10-01,item x,-2.6,Verbrauch,part x
2020-10-01,item x,-0.56,Verbrauch,part x
2020-10-01,item x,-3.48,Verbrauch,part x
2020-10-02,item x,-2.32,Verbrauch,part x
2020-10-02,item x,-4.25,Verbrauch,part x
2020-10-02,item x,-7.17,Verbrauch,part x
2020-10-02,item x,-4.7,Verbrauch,part x
2020-10-02,item x,-14.88,Verbrauch,part x
2020-10-05,item x,-1.88,Verbrauch,part x
2020-10-05,item x,-2.13,Verbrauch,part a
2020-10-05,item x,-1.17,Verbrauch,part x
2020-10-05,item x,-2.64,Verbrauch,part x
2020-10-06,item x,-2.13,Verbrauch,part x
2020-10-06,item x,-2.4,Verbrauch,part x
2020-10-06,item x,-1.53,Verbrauch,part x
2020-10-06,item x,-2.87,Verbrauch,part x
2020-10-06,item x,-5.2,Verbrauch,part x
2020-10-06,item x,-3.31,Verbrauch,part x
2020-10-06,item x,-3.33,Verbrauch,part x
2020-10-07,item x,-2.39,Verbrauch,part x
2020-10-07,item x,-3.59,Verbrauch,part x
2020-10-07,item x,-6.75,Verbrauch,part x
2020-10-07,item x,-6.83,Verbrauch,part x
2020-10-08,item x,-4.3,Verbrauch,part x
2020-10-08,item x,-4.43,Verbrauch,part x
2020-10-07,item x,-0.27,Verbrauch,part x
2020-10-07,item x,-3.09,Verbrauch,part x
2020-10-07,item x,-3.22,Verbrauch,part x
2020-10-07,item x,-1.66,Verbrauch,part x
2020-10-07,item x,-1.04,Verbrauch,part x
2020-10-09,item x,-1.53,Verbrauch,part x
2020-10-12,item x,-3.14,Verbrauch,part x
2020-10-12,item x,-3.38,Verbrauch,part x
2020-10-12,item x,-2.61,Verbrauch,part x
2020-10-13,item x,-3.52,Verbrauch,part x
2020-10-14,item x,-1.52,Verbrauch,part x
2020-10-14,item x,-2.49,Verbrauch,part x
2020-10-14,item x,-0.63,Verbrauch,part x
2020-10-14,item x,-1.18,Verbrauch,part x
2020-10-14,item x,-2.78,Verbrauch,part x
2020-10-14,item x,-2.21,Verbrauch,part x
2020-10-14,item x,-0.76,Verbrauch,part x
2020-10-15,item x,-0.41,Verbrauch,part x
2020-10-15,item x,-3.0,Verbrauch,part x
2020-10-15,item x,-3.42,Verbrauch,part x
2020-10-15,item x,-0.24,Verbrauch,part x
2020-10-15,item x,-2.17,Verbrauch,part x
2020-10-15,item x,-1.95,Verbrauch,part x
2020-10-15,item x,-2.89,Verbrauch,part x
2020-10-15,item x,-3.38,Verbrauch,part x
2020-10-15,item x,-1.21,Verbrauch,part x
2020-10-15,item x,-2.08,Verbrauch,part x
2020-10-15,item x,-1.89,Verbrauch,part x
2020-10-16,item x,-3.13,Verbrauch,part x
2020-10-19,item x,-2.57,Verbrauch,part x
2020-10-20,item x,-2.79,Verbrauch,part x
2020-10-20,item x,-2.31,Verbrauch,part x
2020-10-20,item x,-1.13,Verbrauch,part x
2020-10-21,item x,-2.78,Verbrauch,part x
2020-10-21,item x,-2.45,Verbrauch,part x
2020-10-20,item x,-2.12,Verbrauch,part x
2020-10-22,item x,-3.31,Verbrauch,part x
2020-10-22,item x,-1.88,Verbrauch,part x
2020-10-22,item x,-3.06,Verbrauch,part x
2020-10-22,item x,-3.68,Verbrauch,part x
2020-10-22,item x,-4.75,Verbrauch,part x
2020-10-22,item x,-2.4,Verbrauch,part x
2020-10-22,item x,-6.67,Verbrauch,part x
2020-10-22,item x,-11.72,Verbrauch,part x
2020-10-22,item x,-44.22,Verbrauch,part x
2020-10-23,item x,-2.49,Verbrauch,part x
2020-10-23,item x,-1.56,Verbrauch,part x
2020-10-23,item x,-1.41,Verbrauch,part x
2020-10-26,item x,-1.21,Verbrauch,part x
2020-10-26,item x,-7.18,Verbrauch,part x
2020-10-26,item x,-69.58,Verbrauch,part x
2020-10-16,item x,-0.7,Verkauf,part x
2020-10-27,item x,-3.16,Verbrauch,part x
2020-10-27,item x,-6.63,Verbrauch,part x
2020-10-28,item x,-5.18,Verbrauch,part x
2020-10-28,item x,-2.71,Verbrauch,part x
2020-10-29,item x,-4.08,Verbrauch,part x
2020-10-29,item x,-3.9,Verbrauch,part x
2020-10-29,item x,-0.3,Verbrauch,product x
2020-10-29,item x,-3.13,Verbrauch,part x
2020-10-30,item x,-0.26,Verkauf,part x
2020-10-30,item x,-5.21,Verbrauch,part x
2020-10-30,item x,-6.83,Verbrauch,part x
2020-11-02,item x,-3.04,Verbrauch,part x
2020-11-02,item x,-1.82,Verbrauch,part x
2020-11-02,item x,-3.63,Verbrauch,part x
2020-11-02,item x,-3.24,Verbrauch,part x
2020-11-03,item x,-2.02,Verbrauch,part x
2020-11-03,item x,-1.82,Verbrauch,part x
2020-11-03,item x,-0.56,Verbrauch,part x
2020-11-03,item x,-0.3,Verbrauch,part x
2020-11-04,item x,-2.78,Verbrauch,part x
2020-11-04,item x,-5.08,Verbrauch,part a
2020-11-04,item x,-2.41,Verbrauch,part x
2020-11-03,item x,-1.2,Verbrauch,part x
2020-11-03,item x,-6.46,Verbrauch,part x
2020-11-03,item x,-0.79,Verbrauch,part x
2020-11-04,item x,-4.57,Verbrauch,part x
2020-11-04,item x,-2.86,Verbrauch,part x
2020-11-04,item x,-1.83,Verbrauch,part x
2020-11-04,item x,-2.1,Verbrauch,part x
2020-11-05,item x,-16.6,Verbrauch,part x
2020-11-05,item x,-3.08,Verbrauch,part x
2020-11-05,item x,-10.57,Verbrauch,part x
2020-11-05,item x,-1.31,Verbrauch,part x
2020-11-05,item x,-9.19,Verbrauch,part x
2020-11-06,item x,-1.38,Verbrauch,part x
2020-11-06,item x,-0.51,Verbrauch,part x
2020-11-06,item x,-2.71,Verbrauch,part x
2020-11-09,item x,-2.69,Verbrauch,part x
2020-11-09,item x,-1.78,Verbrauch,part x
2020-10-16,item x,-0.94,Abgang,part x
2020-11-09,item x,-3.09,Verbrauch,part x
2020-11-09,item x,-0.22,Verbrauch,part x
2020-11-09,item x,-1.86,Verbrauch,part x
2020-11-10,item x,-2.87,Verbrauch,part x
2020-11-10,item x,-3.62,Verbrauch,part x
2020-11-10,item x,-1.77,Verbrauch,part x
2020-11-10,item x,-4.55,Verbrauch,part x
2020-11-10,item x,-3.19,Verbrauch,part x
2020-11-10,item x,-1.78,Verbrauch,part x
2020-11-11,item x,-2.12,Abgang,part x
2020-11-11,item x,-2.65,Verbrauch,part x
2020-11-11,item x,-0.65,Verbrauch,part x
2020-11-11,item x,-0.24,Verbrauch,part x
2020-11-11,item x,-1.24,Verbrauch,part x
2020-11-11,item x,-7.28,Verbrauch,part x
2020-11-11,item x,-8.03,Verbrauch,part x
2020-11-11,item x,-1.9,Verbrauch,part x
2020-11-11,item x,-1.04,Verbrauch,part x
2020-11-10,item x,-7.32,Abgang,part x
2020-11-10,item x,-3.13,Abgang,part x
2020-11-12,item x,-2.35,Verbrauch,part x
2020-11-12,item x,-2.81,Verbrauch,part x
2020-11-12,item x,-1.78,Verbrauch,part x
2020-11-12,item x,-2.03,Verbrauch,part x
2020-11-12,item x,-3.01,Verbrauch,part x
2020-11-12,item x,-1.42,Verbrauch,part x
2020-11-12,item x,-5.4,Verbrauch,part x
2020-11-12,item x,-4.17,Verbrauch,part x
2020-11-12,item x,-5.52,Verbrauch,part x
2020-11-12,item x,-1.18,Verbrauch,part x
2020-11-12,item x,-0.84,Verbrauch,part x
2020-11-13,item x,-1.3,Verbrauch,part x
2020-11-13,item x,-1.45,Verbrauch,part x
2020-11-13,item x,-0.95,Verbrauch,part x
2020-11-13,item x,-2.33,Verbrauch,part x
2020-11-13,item x,-0.65,Verbrauch,part x
2020-11-16,item x,-2.61,Verbrauch,part x
2020-11-16,item x,-0.61,Verbrauch,part x
2020-11-16,item x,-2.82,Verbrauch,part x
2020-11-16,item x,-3.22,Verbrauch,part x
2020-11-16,item x,-2.79,Verbrauch,part x
2020-11-16,item x,-0.48,Verbrauch,part x
2020-11-16,item x,-1.86,Verbrauch,part x
2020-11-16,item x,-2.86,Verbrauch,part x
2020-11-16,item x,-0.27,Verbrauch,part x
2020-11-16,item x,-1.15,Verbrauch,part x
2020-11-16,item x,-2.74,Verbrauch,part x
2020-11-16,item x,-0.91,Verbrauch,part x
2020-11-16,item x,-1.03,Verbrauch,part x
2020-11-16,item x,-2.34,Verbrauch,part x
2020-11-16,item x,-2.0,Verbrauch,part x
2020-11-17,item x,-3.05,Verbrauch,part x
2020-11-17,item x,-1.16,Verbrauch,part x
2020-11-17,item x,-1.88,Verbrauch,part x
2020-11-17,item x,-0.63,Verbrauch,part x
2020-11-17,item x,-3.19,Verbrauch,part x
2020-11-17,item x,-3.66,Verbrauch,part x
2020-11-17,item x,-0.42,Verbrauch,part x
2020-11-17,item x,-1.84,Verbrauch,part x
2020-11-17,item x,-0.99,Verbrauch,part x
2020-11-17,item x,-3.48,Verbrauch,part x
2020-11-17,item x,-3.77,Verbrauch,part x
2020-11-17,item x,-1.79,Verbrauch,part x
2020-11-17,item x,-2.68,Verbrauch,part x
2020-11-17,item x,-2.04,Verbrauch,part x
2020-11-17,item x,-2.63,Verbrauch,part x
2020-11-17,item x,-1.23,Verbrauch,part x
2020-11-17,item x,-1.81,Verbrauch,part x
2020-11-17,item x,-1.13,Verbrauch,part x
2020-11-17,item x,-0.82,Verbrauch,part x
2020-11-19,item x,-2.43,Verbrauch,part x
2020-11-19,item x,-4.58,Verbrauch,part x
2020-11-19,item x,-0.73,Verbrauch,part x
2020-11-19,item x,-5.7,Verbrauch,part x
2020-11-19,item x,-2.14,Verbrauch,part x
2020-11-19,item x,-1.27,Verbrauch,part x
2020-11-19,item x,-1.27,Verbrauch,part x
2020-11-19,item x,-1.65,Verbrauch,part x
2020-11-19,item x,-0.91,Verbrauch,part x
2020-11-17,item x,-3.23,Verbrauch,part x
2020-11-19,item x,-0.83,Verbrauch,part x
2020-11-19,item x,-1.86,Verbrauch,part x
2020-11-19,item x,-0.64,Verbrauch,part x
2020-11-19,item x,-1.41,Verbrauch,part x
2020-11-20,item x,-0.21,Verbrauch,part x
2020-11-20,item x,-0.7,Verbrauch,part x
2020-11-20,item x,-1.3,Verbrauch,part x
2020-11-20,item x,-0.72,Verbrauch,part x
2020-11-20,item x,-6.04,Verbrauch,part x
2020-11-20,item x,-1.18,Verbrauch,part x
2020-11-23,item x,-0.4,Verbrauch,part x
2020-11-23,item x,-0.59,Verbrauch,part x
2020-11-23,item x,-0.87,Verbrauch,part x
2020-11-24,item x,-2.64,Verbrauch,part x
2020-11-24,item x,-0.69,Verbrauch,part x
2020-11-24,item x,-4.14,Verbrauch,part x
2020-11-24,item x,-3.6,Verbrauch,part x
2020-11-24,item x,-2.08,Verbrauch,part x
2020-11-24,item x,-2.84,Verbrauch,part x
2020-11-24,item x,-5.64,Verbrauch,part x
2020-11-24,item x,-1.35,Verbrauch,part x
2020-11-24,item x,-3.73,Verbrauch,part x
2020-11-24,item x,-1.1,Verbrauch,part x
2020-11-26,item x,-1.57,Verbrauch,part x
2020-11-26,item x,-0.73,Verbrauch,part x
2020-11-26,item x,-2.57,Verbrauch,part x
2020-11-27,item x,-1.56,Verbrauch,part x
2020-11-27,item x,-2.73,Verbrauch,part x
2020-11-27,item x,-1.11,Verbrauch,part x
2020-11-27,item x,-3.75,Verbrauch,part x
2020-11-27,item x,-3.77,Verbrauch,part x
2020-11-27,item x,-0.52,Verbrauch,part x
2020-11-27,item x,-1.76,Verbrauch,part x
2020-11-27,item x,-1.88,Verbrauch,part x
2020-11-27,item x,-6.64,Verbrauch,part x
2020-11-27,item x,-0.65,Verbrauch,part x
2020-11-27,item x,-0.6,Verbrauch,part x
2020-11-30,item x,-3.31,Verbrauch,part x
2020-11-30,item x,-1.62,Verbrauch,part x
2020-11-30,item x,-2.15,Verbrauch,part x
2020-11-30,item x,-0.84,Verbrauch,part x
2020-11-30,item x,-2.16,Verbrauch,part x
2020-11-30,item x,-2.2,Verbrauch,part x
2020-12-01,item x,-1.45,Verbrauch,part x
2020-12-01,item x,-0.62,Verbrauch,part x
2020-12-01,item x,-11.35,Verbrauch,part x
2020-12-01,item x,-1.78,Verbrauch,part x
2020-11-30,item x,-2.27,Verbrauch,part x
2020-12-02,item x,-1.64,Verbrauch,part x
2020-12-02,item x,-6.73,Verbrauch,part x
2020-12-03,item x,-0.61,Verbrauch,part x
2020-12-03,item x,-0.24,Verbrauch,part x
2020-12-03,item x,-0.33,Verbrauch,part x
2020-12-03,item x,-2.09,Verbrauch,part x
2020-12-03,item x,-33.28,Verbrauch,part x
2020-12-04,item x,-1.59,Verbrauch,part x
2020-12-04,item x,-1.67,Verbrauch,part x
2020-12-04,item x,-5.4,Verbrauch,part x
2020-12-04,item x,-3.28,Verbrauch,part x
2020-12-07,item x,-2.77,Verbrauch,part x
2020-12-08,item x,-0.88,Verbrauch,part x
2020-12-08,item x,-3.25,Verbrauch,part x
2020-12-08,item x,-3.26,Verbrauch,part x
2020-12-09,item x,-0.82,Verbrauch,part x
2020-12-09,item x,-0.51,Verbrauch,part x
2020-12-09,item x,-3.47,Verbrauch,part x
2020-12-09,item x,-2.95,Verbrauch,part x
2020-12-09,item x,-2.77,Verbrauch,part x
2020-12-09,item x,-2.98,Verbrauch,part x
2020-12-09,item x,-2.0,Verbrauch,part x
2020-12-09,item x,-0.2,Verbrauch,part x
2020-12-09,item x,-0.22,Verbrauch,part x
2020-12-09,item x,-2.88,Verbrauch,part x
2020-12-10,item x,-3.67,Verbrauch,product x
2020-12-10,item x,-3.2,Verbrauch,product x
2020-12-11,item x,-3.01,Verbrauch,part x
2020-12-10,item x,-1.42,Verbrauch,part x
2020-12-11,item x,-2.35,Verbrauch,part x
2020-12-11,item x,-4.02,Verbrauch,part x
2020-12-11,item x,-2.3,Verbrauch,part x
2020-12-14,item x,-0.7,Verbrauch,part x
2020-12-14,item x,-1.49,Verbrauch,part x
2020-12-15,item x,-13.15,Abgang,part x
2020-12-15,item x,-1.01,Verbrauch,part x
2020-12-16,item x,-0.98,Verbrauch,part x
2020-12-16,item x,-1.27,Verbrauch,part x
2020-12-16,item x,-12.08,Verbrauch,part x
2020-12-17,item x,-3.25,Verbrauch,part x
2020-12-17,item x,-2.44,Verbrauch,part x
2020-12-17,item x,-1.74,Verbrauch,part x
2020-12-17,item x,-1.87,Verbrauch,part x
2020-12-18,item x,-2.7,Verbrauch,part x
2020-12-18,item x,-3.8,Verbrauch,part x
2020-12-18,item x,-1.94,Verbrauch,part x
2020-12-18,item x,-2.48,Verbrauch,part x
2020-12-18,item x,-2.12,Verbrauch,part x
2020-12-21,item x,-0.87,Verbrauch,part x
2020-12-21,item x,-2.94,Verbrauch,part x
2020-12-21,item x,-2.76,Verbrauch,part x
2020-12-21,item x,-1.31,Verbrauch,part x
2020-12-21,item x,-3.24,Verbrauch,part x
2020-12-21,item x,-2.46,Verbrauch,part x
2020-12-22,item x,-2.8,Verbrauch,part x
2020-12-22,item x,-1.88,Verbrauch,part x
2020-12-22,item x,-7.24,Verbrauch,part x
2020-12-22,item x,-0.52,Verbrauch,part x
2020-12-22,item x,-1.04,Verbrauch,part x
2020-12-22,item x,2.48,Einkauf,part x
2020-12-23,item x,-7.45,Verbrauch,part x
2020-12-23,item x,-4.26,Verbrauch,part x
2020-12-23,item x,-5.18,Verbrauch,part x
2020-12-23,item x,-1.36,Verbrauch,part x
2020-12-23,item x,-2.27,Verbrauch,part x
2020-12-23,item x,-5.12,Verbrauch,part x
2020-12-23,item x,-0.63,Verbrauch,part x
2020-12-23,item x,-0.17,Verbrauch,part x
2020-12-23,item x,-4.6,Verbrauch,part x
2020-12-23,item x,-3.49,Verbrauch,part x
